"decimalLongitude","decimalLatitude","N"
-99.594583,19.264063,146
-98.233384,19.018008,37
-99.305506,19.312666,111
-99.84623,20.543809,55
-97.62243,17.045407,9
-99.190793,19.036562,20
-100.797122,25.444594,12
-104.053831,20.648286,43
-99.290019,19.3146,7
-96.473418,17.269046,5
-100.02341,19.138514,2
-100.36915,20.51587,20
-98.838265,19.514347,41
-102.702084,21.733671,54
-102.717458,21.740875,4
-99.195557,19.315517,35
-96.763051,17.051425,10
-92.616086,16.712242,24
-103.58014,20.689599,14
-103.188963,20.333078,10
-102.6275,21.1206,11
-106.934948,28.733872,1
-103.316975,20.417039,81
-102.733712,21.74531,14
-103.375416,20.764427,396
-99.104778,19.409861,45
-99.246626,19.253533,184
-102.331322,22.016937,13
-99.118051,19.090225,3
-99.237833,19.494361,12
-99.241278,19.480639,18
-98.189248,18.935069,33
-105.054177,23.638114,45
-99.211694,19.409194,33
-99.181128,19.501678,12
-99.081659,19.122707,10
-99.094909,19.294801,30
-97.492741,19.55349,10
-99.074389,19.457722,61
-99.221861,19.654861,12
-99.178667,19.341667,6
-99.075639,19.479306,15
-108.150686,27.877827,7
-103.846424,20.793681,12
-92.588102,16.802452,40
-108.21073,29.32249,4
-99.117837,19.127856,12
-99.194591,19.401273,1
-99.174142,19.949953,91
-99.374042,19.44029,30
-99.178589,19.464928,9
-99.251806,19.474083,15
-92.540132,16.668865,36
-92.595726,16.739844,37
-103.578667,20.682638,1
-96.75088,17.1994,10
-103.674717,19.414064,5
-100.640769,25.146429,56
-103.949366,19.445988,18
-116.532358,31.853491,14
-99.180287,19.324178,2
-99.194497,19.401319,1
-102.691998,21.072054,8
-103.578275,20.683792,19
-99.185331,19.421745,1
-92.68937,16.69205,4
-99.296359,18.802785,116
-99.189219,19.40592,3
-99.146525,19.473164,9
-99.098028,19.47425,24
-108.144659,29.30017,4
-99.187222,19.346944,4
-96.791815,17.319648,1
-103.837538,20.670051,239
-93.13087,17.17422,119
-99.179167,19.341944,5
-103.519088,20.720249,353
-99.10522,19.281362,43
-102.333548,21.928516,6
-103.613107,20.691155,18
-99.172163,19.353852,6
-99.182778,19.348333,4
-92.68487,16.74593,12
-96.73836,17.218313,95
-99.119521,20.007306,147
-96.76484,17.19187,14
